@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,20-24'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute num_walls numeric
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute norht_best {true,false}
@attribute east_best {true,false}
@attribute south_best {true,false}
@attribute west_best {true,false}
@attribute action {North,East,South,West}

@data
false,false,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,false,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,false,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,false,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,true,false,South
true,true,true,false,0,6,6,6,6,false,false,false,true,false,false,true,false,South
true,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
false,true,true,true,0,6,6,6,6,false,false,false,true,false,false,false,true,West
