@relation pacman-weka.filters.unsupervised.attribute.Remove-R25-36

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute score numeric
@attribute future_score numeric
@attribute future_alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute action {North,East,South,West}

@data
28,18,false,false,true,true,1,3,2,3,5,9,6,6,42,41,38,34,0,4,0,-1,4,Stop,West
27,18,false,true,true,true,1,3,2,3,5,9,6,6,41,40,37,33,0,4,-1,-2,4,West,West
26,18,false,true,true,true,1,3,2,3,5,9,6,6,40,39,36,32,0,4,-2,-3,4,West,West
25,18,false,true,true,true,1,3,2,3,5,9,6,6,39,38,35,31,0,4,-3,-4,4,West,West
24,18,false,true,false,true,1,3,2,3,5,9,6,6,38,37,34,30,0,4,-4,-5,4,West,West
23,18,false,true,false,true,1,3,2,3,5,9,6,6,37,36,33,29,0,4,-5,-6,4,West,West
22,18,false,true,false,true,1,3,2,3,5,9,6,6,36,35,32,28,0,4,-6,-7,4,West,West
21,18,false,true,true,true,1,3,2,3,5,9,6,6,35,34,31,27,0,4,-7,-8,4,West,West
20,18,false,true,true,true,1,3,2,3,5,9,6,6,34,33,30,26,0,4,-8,-9,4,West,West
19,18,false,true,true,true,1,3,2,3,5,9,6,6,33,32,29,25,0,4,-9,-10,4,West,West
18,18,false,true,true,true,1,3,2,3,5,9,6,6,32,31,28,24,0,4,-10,-11,4,West,West
17,18,false,true,true,true,1,3,2,3,5,9,6,6,31,30,27,23,0,4,-11,-12,4,West,West
16,18,false,true,true,true,1,3,2,3,5,9,6,6,30,29,26,22,0,4,-12,-13,4,West,West
15,18,false,true,true,true,1,3,2,3,5,9,6,6,29,28,25,21,0,4,-13,-14,4,West,West
14,18,false,true,true,true,1,3,2,3,5,9,6,6,28,27,24,20,0,4,-14,-15,4,West,South
14,17,true,true,true,false,1,3,2,3,5,9,6,6,27,26,23,19,0,4,-15,-16,4,South,South
14,16,true,true,true,true,1,3,2,3,5,9,6,6,26,25,22,18,0,4,-16,-17,4,South,West
13,16,false,true,true,true,1,3,2,3,5,9,6,6,25,24,21,17,0,4,-17,-18,4,West,West
12,16,false,true,true,true,1,3,2,3,5,9,6,6,24,23,20,16,0,4,-18,-19,4,West,West
11,16,false,true,true,true,1,3,2,3,5,9,6,6,23,22,19,15,0,4,-19,-20,4,West,West
10,16,false,true,true,true,1,3,2,3,5,9,6,6,22,21,18,14,0,4,-20,-21,4,West,West
9,16,false,true,true,true,1,3,2,3,5,9,6,6,21,20,17,13,0,4,-21,-22,4,West,West
8,16,false,true,true,true,1,3,2,3,5,9,6,6,20,19,16,12,0,4,-22,-23,4,West,South
8,15,true,true,true,true,1,3,2,3,5,9,6,6,19,18,15,11,0,4,-23,-24,4,South,South
8,14,true,true,true,true,1,3,2,3,5,9,6,6,18,17,14,10,0,4,-24,-25,4,South,South
8,13,true,true,true,false,1,3,2,3,5,9,6,6,17,16,13,9,0,4,-25,-26,4,South,South
8,12,true,true,true,true,1,3,2,3,5,9,6,6,16,15,12,8,0,4,-26,-27,4,South,South
8,11,true,true,true,false,1,3,2,3,5,9,6,6,15,14,11,7,0,4,-27,-28,4,South,South
8,10,true,true,true,false,1,3,2,3,5,9,6,6,14,13,10,6,0,4,-28,-29,4,South,South
8,9,true,true,true,false,1,3,2,3,5,9,6,6,13,12,9,5,0,4,-29,-30,4,South,South
8,8,true,true,true,false,1,3,2,3,5,9,6,6,12,11,8,4,0,4,-30,-31,4,South,South
8,7,true,true,true,false,1,3,2,3,5,9,6,6,11,10,7,3,0,4,-31,-32,4,South,South
8,6,true,true,true,true,1,3,2,3,5,9,6,6,10,9,6,2,0,4,-32,-33,4,South,West
7,6,false,true,false,true,1,3,2,3,5,9,6,6,9,8,5,1,0,4,-33,66,3,West,West
6,6,true,true,false,true,1,3,2,3,5,9,7,1,8,7,4,-1,0,3,166,165,3,West,West
5,6,true,true,true,true,1,3,2,3,5,9,7,1,7,6,3,-1,0,3,165,164,3,West,North
5,7,true,true,true,true,1,3,2,3,5,9,7,1,8,7,2,-1,0,3,164,163,3,North,North
5,8,true,true,true,true,1,3,2,3,5,9,7,1,9,8,1,-1,0,3,163,262,2,North,North
5,9,true,true,true,true,1,3,2,3,5,1,7,1,10,9,-1,-1,0,2,362,361,2,North,West
4,9,true,true,true,true,1,3,2,3,5,1,7,1,9,8,-1,-1,0,2,361,360,2,West,West
3,9,true,true,true,false,1,3,2,3,5,1,7,1,8,7,-1,-1,0,2,360,359,2,West,South
3,8,true,true,true,false,1,3,2,3,5,1,7,1,7,6,-1,-1,0,2,359,358,2,South,South
3,7,true,true,true,false,1,3,2,3,5,1,7,1,6,5,-1,-1,0,2,358,357,2,South,South
3,6,true,true,true,true,1,3,2,3,5,1,7,1,5,4,-1,-1,0,2,357,356,2,South,West
2,6,false,true,true,true,1,3,2,3,5,1,7,1,4,3,-1,-1,0,2,356,355,2,West,South
2,5,true,true,true,true,1,3,2,3,5,1,7,1,3,2,-1,-1,0,2,355,354,2,South,South
2,4,true,true,true,true,1,3,2,3,5,1,7,1,2,1,-1,-1,0,2,354,453,1,South,South
2,3,true,true,false,true,1,3,3,1,5,1,7,1,1,-1,-1,-1,0,1,553,652,0,South,West
26,27,false,false,true,true,10,15,13,15,14,15,17,15,28,25,24,27,0,4,0,-1,4,Stop,West
25,27,false,true,false,true,10,15,13,15,14,15,17,15,27,24,23,26,0,4,-1,-2,4,West,West
