@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-V-R3-6,10,21-22,27-30'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g2_y numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
false,false,true,true,3,Stop,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,false,true,3,West,6,false,false,true,West
false,true,false,true,3,West,6,false,false,true,West
false,true,false,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,true,3,South,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,West
false,true,true,true,3,West,6,false,false,true,South
true,true,true,true,3,South,6,false,false,true,South
true,true,true,true,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,true,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,false,3,South,6,false,false,true,South
true,true,true,true,3,South,6,false,false,true,West
false,true,false,true,3,West,6,false,false,true,West
true,true,false,true,3,West,6,false,true,false,West
true,true,true,true,3,West,6,false,true,false,North
true,true,true,true,3,North,6,false,true,false,North
true,true,true,true,3,North,6,false,true,false,North
true,true,true,true,3,North,6,true,false,false,West
true,true,true,true,3,West,6,true,false,false,West
true,true,true,false,3,West,6,true,false,false,South
true,true,true,false,3,South,6,true,false,false,South
true,true,true,false,3,South,6,true,false,false,South
true,true,true,true,3,South,6,true,false,false,West
false,true,true,true,3,West,6,true,false,false,South
true,true,true,true,3,South,6,true,false,false,South
true,true,true,true,3,South,6,true,false,false,South
true,true,false,true,1,South,7,false,false,false,West
false,false,true,true,15,Stop,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,true,true,15,West,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,true,true,true,15,South,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,true,true,15,West,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,false,false,true,15,South,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,false,true,15,West,6,false,true,false,West
false,true,true,false,15,West,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,false,true,false,15,South,6,false,true,false,South
true,true,false,true,15,South,6,false,true,false,West
false,true,true,true,15,West,6,false,true,false,South
true,false,true,true,15,South,6,false,true,false,South
true,true,false,true,15,South,7,true,false,false,West
true,true,false,true,1,West,7,false,false,false,West
false,true,false,true,1,West,7,false,false,false,West
false,true,false,true,1,West,7,false,false,false,West
false,true,false,false,1,West,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
true,true,false,true,1,East,6,false,false,true,East
