@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,7,11,13,15,17-18,20'

@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g3_dis numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute action {North,East,South,West}

@data
false,true,true,38,Stop,6,6,false,false,West
false,true,true,37,West,6,6,false,false,West
false,true,true,36,West,6,6,false,false,West
false,true,true,35,West,6,6,false,false,West
false,false,true,34,West,6,6,false,false,West
false,false,true,33,West,6,6,false,false,West
false,false,true,32,West,6,6,false,false,West
false,true,true,31,West,6,6,false,false,West
false,true,true,30,West,6,6,false,false,West
false,true,true,29,West,6,6,false,false,West
false,true,true,28,West,6,6,false,false,West
false,true,true,27,West,6,6,false,false,West
false,true,true,26,West,6,6,false,false,West
false,true,true,25,West,6,6,false,false,West
false,true,true,24,West,6,6,false,false,South
true,true,false,23,South,6,6,false,false,South
true,true,true,22,South,6,6,false,false,West
false,true,true,21,West,6,6,false,false,West
false,true,true,20,West,6,6,false,false,West
false,true,true,19,West,6,6,false,false,West
false,true,true,18,West,6,6,false,false,West
false,true,true,17,West,6,6,false,false,West
false,true,true,16,West,6,6,false,false,South
true,true,true,15,South,6,6,false,false,South
true,true,true,14,South,6,6,false,false,South
true,true,false,13,South,6,6,false,false,South
true,true,true,12,South,6,6,false,false,South
true,true,false,11,South,6,6,false,false,South
true,true,false,10,South,6,6,false,false,South
true,true,false,9,South,6,6,false,false,South
true,true,false,8,South,6,6,false,false,South
true,true,false,7,South,6,6,false,false,South
true,true,true,6,South,6,7,false,false,West
false,false,true,5,West,6,7,false,false,West
true,false,true,4,West,6,4,false,true,West
true,true,true,3,West,6,4,false,true,North
true,true,true,2,North,6,4,false,true,North
true,true,true,1,North,6,4,false,true,North
true,true,true,-1,North,6,4,true,false,West
true,true,true,-1,West,6,4,true,false,West
true,true,false,-1,West,6,4,true,false,South
true,true,false,-1,South,6,4,true,false,South
true,true,false,-1,South,6,4,true,false,South
true,true,true,-1,South,6,4,true,false,West
false,true,true,-1,West,5,4,true,false,South
true,true,true,-1,South,5,4,true,false,South
true,true,true,-1,South,5,4,true,false,South
true,false,true,-1,South,4,4,false,false,West
false,true,true,24,Stop,6,6,false,true,West
false,false,true,23,West,6,6,false,true,West
false,false,true,22,West,6,6,false,true,West
false,false,true,21,West,6,6,false,true,West
false,false,true,20,West,6,6,false,true,West
false,true,true,19,West,6,6,false,true,South
true,true,false,18,South,6,6,false,true,South
true,true,false,17,South,6,6,false,true,South
true,true,false,16,South,6,6,false,true,South
