@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14-weka.filters.unsupervised.attribute.Remove-V-R1-4,11-13,16,19-20'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
false,false,true,true,Stop,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,false,true,West,6,6,false,true,West
false,true,false,true,West,6,6,false,true,West
false,true,false,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,West
false,true,true,true,West,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,false,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,West
false,true,false,true,West,6,6,false,true,West
true,true,false,true,West,6,6,false,false,West
true,true,true,true,West,6,6,false,false,North
true,true,true,true,North,6,6,false,false,North
true,true,true,true,North,6,6,false,false,North
true,true,true,true,North,6,6,false,false,West
true,true,true,true,West,6,6,false,false,West
true,true,true,false,West,6,6,false,false,South
true,true,true,false,South,6,6,false,false,South
true,true,true,false,South,6,6,false,false,South
true,true,true,true,South,6,6,false,false,West
false,true,true,true,West,6,5,false,false,South
true,true,true,true,South,6,5,false,false,South
true,true,true,true,South,6,5,false,false,South
true,true,false,true,South,7,4,true,false,West
false,false,true,true,Stop,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,true,true,West,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,true,true,true,South,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,true,true,West,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,false,false,true,South,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,true,false,West,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,true,false,true,South,6,6,false,false,West
false,true,true,true,West,6,6,false,false,South
true,false,true,true,South,6,6,false,false,South
true,true,false,true,South,7,7,false,false,West
true,true,false,true,West,7,6,true,false,West
false,true,false,true,West,7,6,true,false,West
false,true,false,true,West,7,6,true,false,West
false,true,false,false,West,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,false,false,true,Stop,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,West
true,true,false,true,West,8,7,false,false,North
true,true,true,true,North,8,6,false,false,North
true,true,true,false,North,8,6,false,false,North
false,true,true,true,North,8,6,false,false,West
false,true,false,true,West,8,6,false,false,West
false,true,false,true,West,8,6,false,false,West
true,true,true,true,West,8,6,false,false,West
true,true,true,false,West,8,6,false,false,North
true,true,true,false,North,8,6,false,false,North
true,true,true,false,North,8,6,false,false,North
true,true,true,false,North,7,6,false,false,North
true,true,true,false,North,6,6,false,false,North
true,true,true,false,North,6,6,false,false,North
false,true,true,true,North,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,true,true,West,6,5,false,false,South
true,false,true,true,South,6,5,false,false,South
true,false,true,true,South,6,5,false,false,South
true,false,true,true,South,7,5,false,false,South
true,false,true,true,South,8,5,false,false,South
true,false,true,true,South,8,5,false,false,South
true,false,true,true,South,8,5,false,false,South
true,false,true,true,South,8,5,false,false,South
true,false,true,true,South,8,5,false,false,South
true,false,false,true,South,8,6,true,false,West
true,true,false,true,West,8,6,true,false,West
true,true,false,true,West,8,6,true,false,West
true,true,false,true,West,8,6,true,false,West
false,true,false,true,West,8,6,true,false,West
false,true,false,true,West,8,6,true,false,West
true,true,false,true,West,8,6,true,false,North
true,false,true,true,North,8,6,true,false,North
true,false,true,true,North,8,6,true,false,North
true,true,true,true,North,8,6,true,false,North
true,true,true,true,North,8,6,true,false,North
true,true,true,true,North,8,6,true,false,North
true,true,true,true,North,6,6,false,true,East
true,false,true,true,East,6,6,false,true,South
true,false,true,true,South,6,6,false,true,South
true,false,true,true,South,6,6,false,true,South
true,true,false,true,South,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,true,true,true,East,6,6,false,true,East
true,true,true,true,East,6,6,false,true,East
true,true,true,true,East,6,6,false,true,East
true,false,true,true,East,6,6,false,true,North
true,false,true,true,North,6,6,false,true,North
true,false,true,true,North,6,6,false,true,North
true,false,true,true,North,6,6,false,true,North
true,false,true,true,North,6,6,false,true,North
true,false,true,true,North,6,6,false,true,North
false,true,true,true,North,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,East
true,true,true,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,East
