@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36'

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
28,18,false,false,true,true,1,3,2,3,5,9,6,6,42,41,38,34,0,4,Stop,6,6,6,6,false,false,false,true,West
27,18,false,true,true,true,1,3,2,3,5,9,6,6,41,40,37,33,0,4,West,6,6,6,6,false,false,false,true,West
26,18,false,true,true,true,1,3,2,3,5,9,6,6,40,39,36,32,0,4,West,6,6,6,6,false,false,false,true,West
25,18,false,true,true,true,1,3,2,3,5,9,6,6,39,38,35,31,0,4,West,6,6,6,6,false,false,false,true,West
24,18,false,true,false,true,1,3,2,3,5,9,6,6,38,37,34,30,0,4,West,6,6,6,6,false,false,false,true,West
23,18,false,true,false,true,1,3,2,3,5,9,6,6,37,36,33,29,0,4,West,6,6,6,6,false,false,false,true,West
22,18,false,true,false,true,1,3,2,3,5,9,6,6,36,35,32,28,0,4,West,6,6,6,6,false,false,false,true,West
21,18,false,true,true,true,1,3,2,3,5,9,6,6,35,34,31,27,0,4,West,6,6,6,6,false,false,false,true,West
20,18,false,true,true,true,1,3,2,3,5,9,6,6,34,33,30,26,0,4,West,6,6,6,6,false,false,false,true,West
19,18,false,true,true,true,1,3,2,3,5,9,6,6,33,32,29,25,0,4,West,6,6,6,6,false,false,false,true,West
18,18,false,true,true,true,1,3,2,3,5,9,6,6,32,31,28,24,0,4,West,6,6,6,6,false,false,false,true,West
17,18,false,true,true,true,1,3,2,3,5,9,6,6,31,30,27,23,0,4,West,6,6,6,6,false,false,false,true,West
16,18,false,true,true,true,1,3,2,3,5,9,6,6,30,29,26,22,0,4,West,6,6,6,6,false,false,false,true,West
15,18,false,true,true,true,1,3,2,3,5,9,6,6,29,28,25,21,0,4,West,6,6,6,6,false,false,false,true,West
14,18,false,true,true,true,1,3,2,3,5,9,6,6,28,27,24,20,0,4,West,6,6,6,6,false,false,false,true,South
14,17,true,true,true,false,1,3,2,3,5,9,6,6,27,26,23,19,0,4,South,6,6,6,6,false,false,false,true,South
14,16,true,true,true,true,1,3,2,3,5,9,6,6,26,25,22,18,0,4,South,6,6,6,6,false,false,false,true,West
13,16,false,true,true,true,1,3,2,3,5,9,6,6,25,24,21,17,0,4,West,6,6,6,6,false,false,false,true,West
