@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
false,false,true,true,42,41,38,34,0,4,Stop,6,6,6,6,false,false,false,true,West
false,true,true,true,41,40,37,33,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,40,39,36,32,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,39,38,35,31,0,4,West,6,6,6,6,false,false,false,true,West
false,true,false,true,38,37,34,30,0,4,West,6,6,6,6,false,false,false,true,West
false,true,false,true,37,36,33,29,0,4,West,6,6,6,6,false,false,false,true,West
false,true,false,true,36,35,32,28,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,35,34,31,27,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,34,33,30,26,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,33,32,29,25,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,32,31,28,24,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,31,30,27,23,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,30,29,26,22,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,29,28,25,21,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,28,27,24,20,0,4,West,6,6,6,6,false,false,false,true,South
true,true,true,false,27,26,23,19,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,true,26,25,22,18,0,4,South,6,6,6,6,false,false,false,true,West
false,true,true,true,25,24,21,17,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,24,23,20,16,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,23,22,19,15,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,22,21,18,14,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,21,20,17,13,0,4,West,6,6,6,6,false,false,false,true,West
false,true,true,true,20,19,16,12,0,4,West,6,6,6,6,false,false,false,true,South
true,true,true,true,19,18,15,11,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,true,18,17,14,10,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,false,17,16,13,9,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,true,16,15,12,8,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,false,15,14,11,7,0,4,South,6,6,6,6,false,false,false,true,South
true,true,true,false,14,13,10,6,0,4,South,6,6,6,6,false,false,false,true,South
