@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West, Stop}

@DATA
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,0,-1,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,Stop
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,-1,-2,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,Stop
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,-2,-3,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,Stop
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,-3,-4,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,Stop
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,-4,-5,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,Stop
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,-5,-6,4,Stop,8,8,8,2,false,false,true,false,false,true,false,false,East
15,3,true,true,false,true,10,15,13,15,14,15,17,15,33,30,29,32,0,4,-6,-7,4,East,8,8,8,2,false,false,true,false,true,false,false,false,North
15,4,true,false,true,false,10,15,13,15,14,15,17,15,32,29,28,31,0,4,-7,-8,4,North,8,8,8,2,false,false,true,false,true,false,false,false,North
15,5,false,true,true,false,10,15,13,15,14,15,17,15,31,28,27,30,0,4,-8,-9,4,North,8,8,8,2,false,false,true,false,false,true,false,false,Stop
15,5,false,true,true,false,10,15,13,15,14,15,17,15,31,28,27,30,0,4,-9,-10,4,North,8,8,8,2,false,false,true,false,false,true,false,false,East
16,5,false,true,false,true,10,15,13,15,14,15,17,15,30,27,26,29,0,4,-10,-11,4,East,8,8,8,2,false,false,true,false,false,true,false,false,East
17,5,false,true,false,true,10,15,13,15,14,15,17,15,29,26,25,28,0,4,-11,-12,4,East,8,8,8,8,false,false,true,false,false,true,false,false,East
18,5,true,false,false,true,10,15,13,15,14,15,17,15,28,25,24,27,0,4,-12,-13,4,East,8,8,8,8,false,false,true,false,true,false,false,false,North
18,6,true,false,true,false,10,15,13,15,14,15,17,15,27,24,23,26,0,4,-13,-14,4,North,8,8,8,8,false,false,true,false,true,false,false,false,North
18,7,true,false,true,false,10,15,13,15,14,15,17,15,26,23,22,25,0,4,-14,-15,4,North,8,8,8,8,false,false,true,false,true,false,false,false,North
18,8,false,true,true,true,10,15,13,15,14,15,17,15,25,22,21,24,0,4,-15,-16,4,North,8,8,8,8,false,false,true,false,false,true,false,false,West
17,8,false,true,false,true,10,15,13,15,14,15,17,15,26,23,22,25,0,4,-16,-17,4,West,8,8,8,8,false,false,true,false,false,false,false,true,West
16,8,false,true,false,true,10,15,13,15,14,15,17,15,25,22,21,24,0,4,-17,-18,4,West,8,8,8,2,false,false,true,false,false,false,false,true,West
15,8,true,true,false,true,10,15,13,15,14,15,17,15,24,21,20,23,0,4,-18,-19,4,West,8,8,8,2,false,false,true,false,true,false,false,false,West
14,8,false,true,false,true,10,15,13,15,14,15,17,15,25,22,21,24,0,4,-19,-20,4,West,8,8,8,2,false,false,true,false,false,true,false,false,West
13,8,false,true,false,true,10,15,13,15,14,15,17,15,24,21,22,25,0,4,-20,-21,4,West,8,8,2,2,false,true,false,false,false,false,false,true,West
12,8,true,true,false,true,10,15,13,15,14,15,17,15,23,20,21,24,0,4,-21,-22,4,West,8,2,2,2,false,true,false,false,true,false,false,false,North
12,9,true,false,true,false,10,15,13,15,14,15,17,15,22,19,20,23,0,4,-22,-23,4,North,8,2,2,2,false,true,false,false,true,false,false,false,North
12,10,true,false,true,false,10,15,13,15,14,15,17,15,21,18,19,22,0,4,-23,-24,4,North,8,2,2,2,false,true,false,false,true,false,false,false,North
12,11,false,false,true,true,10,15,13,15,14,15,17,15,20,17,18,21,0,4,-24,-25,4,North,8,2,2,2,false,true,false,false,false,false,false,true,West
11,11,false,true,false,true,10,15,13,15,14,15,17,15,19,16,17,20,0,4,-25,-26,4,West,8,2,2,2,false,true,false,false,false,false,false,true,West
10,11,false,true,false,true,10,15,13,15,14,15,17,15,18,15,16,19,0,4,-26,-27,4,West,8,2,2,2,false,true,false,false,false,false,false,true,West
9,11,false,true,false,true,10,15,13,15,14,15,17,15,17,14,15,18,0,4,-27,-28,4,West,2,2,2,2,false,true,false,false,false,false,false,true,West
8,11,true,true,false,true,10,15,13,15,14,15,17,15,16,13,14,17,0,4,-28,-29,4,West,2,2,2,2,false,true,false,false,true,false,false,false,North
8,12,true,false,true,false,10,15,13,15,14,15,17,15,15,12,13,16,0,4,-29,-30,4,North,2,2,2,2,false,true,false,false,true,false,false,false,North
8,13,true,true,true,false,10,15,13,15,14,15,17,15,14,11,12,15,0,4,-30,-31,4,North,2,2,2,2,false,true,false,false,true,false,false,false,North
8,14,true,false,true,false,10,15,13,15,14,15,17,15,13,10,11,14,0,4,-31,-32,4,North,2,2,2,2,false,true,false,false,true,false,false,false,North
8,15,true,false,true,true,10,15,13,15,14,15,17,15,12,9,10,13,0,4,-32,-33,4,North,3,3,3,3,false,true,false,false,true,false,false,false,North
8,16,true,false,true,false,10,15,13,15,14,15,17,15,11,8,9,12,0,4,-33,-34,4,North,4,4,4,4,false,true,false,false,true,false,false,false,North
8,17,false,true,true,false,10,15,13,15,14,15,17,15,10,7,8,11,0,4,-34,-35,4,North,4,4,4,4,false,true,false,false,false,true,false,false,East
9,17,false,true,false,true,10,15,13,15,14,15,17,15,9,6,7,10,0,4,-35,-36,4,East,4,4,4,4,false,true,false,false,false,true,false,false,East
10,17,false,true,false,true,10,15,13,15,14,15,17,15,8,5,6,9,0,4,-36,-37,4,East,5,4,4,4,false,true,false,false,false,true,false,false,East
11,17,false,true,false,true,10,15,13,15,14,15,17,15,7,4,5,8,0,4,-37,-38,4,East,6,4,4,4,false,true,false,false,false,true,false,false,East
12,17,true,true,false,true,10,15,13,15,14,15,17,15,6,3,4,7,0,4,-38,-39,4,East,6,4,4,4,false,true,false,false,false,true,false,false,East
13,17,false,true,true,true,10,15,13,15,14,15,17,15,5,2,3,6,0,4,-39,-40,4,East,6,5,4,4,false,true,false,false,false,false,true,false,South
13,16,true,true,true,false,10,15,13,15,14,15,17,15,4,1,2,5,0,4,-40,59,3,South,6,5,4,4,false,true,false,false,false,false,true,false,South
