@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
1,11,false,true,true,false,6,5,6,9,8,11,14,6,11,7,7,18,0,4,0,-1,4,Stop,4,4,3,4,false,true,false,false,false,true,false,false,East
2,11,false,true,false,true,6,5,6,9,8,11,14,6,12,6,6,17,0,4,-1,-2,4,East,4,4,3,4,false,true,false,false,false,true,false,false,East
3,11,false,true,false,true,6,5,6,9,8,11,14,6,13,5,5,16,0,4,-2,-3,4,East,4,4,3,4,false,true,false,false,false,true,false,false,East
4,11,false,true,false,true,6,5,6,9,8,11,14,6,12,4,4,15,0,4,-3,-4,4,East,4,4,3,4,false,true,false,false,false,true,false,false,East
5,11,false,true,true,true,6,5,6,9,8,11,14,6,11,3,3,14,0,4,-4,-5,4,East,4,4,3,4,false,true,false,false,false,true,false,false,East
6,11,false,true,true,true,6,5,6,9,8,11,14,6,10,2,2,13,0,4,-5,-6,4,East,5,5,3,4,false,true,false,false,false,false,true,false,South
6,10,true,false,true,true,6,5,6,9,8,11,14,6,9,1,3,12,0,4,-6,93,3,South,5,5,2,4,false,true,false,false,false,false,true,false,South
6,9,true,true,true,true,6,5,3,1,8,11,14,6,8,-1,4,11,0,3,193,192,3,South,5,6,2,4,false,false,true,false,true,false,false,false,North
6,10,true,false,true,true,6,5,3,1,8,11,14,6,9,-1,3,12,0,3,192,191,3,North,5,6,2,4,false,false,true,false,true,false,false,false,North
6,11,false,true,true,true,6,5,3,1,8,11,14,6,10,-1,2,13,0,3,191,190,3,North,5,6,3,4,false,false,true,false,false,true,false,false,East
7,11,false,true,false,true,6,5,3,1,8,11,14,6,11,-1,1,12,0,3,190,289,2,East,6,6,3,4,false,false,true,false,false,true,false,false,East
8,11,false,true,false,true,6,5,3,1,5,1,14,6,12,-1,-1,11,0,2,389,388,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
9,11,false,true,false,true,6,5,3,1,5,1,14,6,11,-1,-1,10,0,2,388,387,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
10,11,false,true,true,true,6,5,3,1,5,1,14,6,10,-1,-1,9,0,2,387,386,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
11,11,false,true,true,true,6,5,3,1,5,1,14,6,11,-1,-1,8,0,2,386,385,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
12,11,false,true,false,true,6,5,3,1,5,1,14,6,12,-1,-1,7,0,2,385,384,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
13,11,false,true,false,true,6,5,3,1,5,1,14,6,13,-1,-1,6,0,2,384,383,2,East,6,6,6,4,false,false,false,true,false,true,false,false,East
14,11,false,true,true,true,6,5,3,1,5,1,14,6,14,-1,-1,5,0,2,383,382,2,East,6,6,6,5,false,false,false,true,false,false,true,false,South
14,10,true,false,true,false,6,5,3,1,5,1,14,6,13,-1,-1,4,0,2,482,481,2,South,6,6,6,5,false,false,false,true,false,false,true,false,South
14,9,true,true,true,true,6,5,3,1,5,1,14,6,12,-1,-1,3,0,2,481,480,2,South,6,6,6,5,false,false,false,true,false,false,true,false,South
14,8,true,true,true,true,6,5,3,1,5,1,14,6,11,-1,-1,2,0,2,480,479,2,South,6,6,6,5,false,false,false,true,false,false,true,false,South
14,7,true,true,true,true,6,5,3,1,5,1,14,6,10,-1,-1,1,0,2,479,578,1,South,6,6,6,5,false,false,false,true,false,false,true,false,South
14,6,true,false,true,false,6,5,3,1,5,1,7,1,9,-1,-1,-1,0,1,678,677,1,South,6,6,6,6,true,false,false,false,false,false,true,false,South
14,5,true,true,true,true,6,5,3,1,5,1,7,1,8,-1,-1,-1,0,1,677,676,1,South,7,6,6,6,true,false,false,false,false,false,false,true,West
13,5,false,true,true,true,6,5,3,1,5,1,7,1,7,-1,-1,-1,0,1,676,675,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
12,5,false,true,false,true,6,5,3,1,5,1,7,1,6,-1,-1,-1,0,1,675,674,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
11,5,false,true,true,true,6,5,3,1,5,1,7,1,5,-1,-1,-1,0,1,674,673,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
10,5,true,true,true,true,6,5,3,1,5,1,7,1,4,-1,-1,-1,0,1,673,672,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
9,5,true,true,true,true,6,5,3,1,5,1,7,1,3,-1,-1,-1,0,1,672,671,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
8,5,true,true,true,true,6,5,3,1,5,1,7,1,2,-1,-1,-1,0,1,671,670,1,West,7,6,6,6,true,false,false,false,false,false,false,true,West
7,5,false,true,true,true,6,5,3,1,5,1,7,1,1,-1,-1,-1,0,1,670,769,0,West,7,6,6,5,true,false,false,false,false,false,false,true,West
1,6,false,true,true,false,6,4,8,6,11,3,16,6,7,7,13,15,0,4,0,-1,4,Stop,4,3,4,3,true,false,false,false,false,false,true,false,South
1,5,true,false,true,false,6,4,8,6,11,3,16,6,6,8,12,16,0,4,-1,-2,4,South,4,2,4,2,true,false,false,false,false,false,true,false,South
