@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE action {North, East, South, West}

@DATA
12,10,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,11,9,5,3,0,0,Stop,East
13,10,true,true,true,true,5,6,5,12,13,6,13,12,6,8,5,8,12,10,4,2,0,-1,East,East
14,10,true,true,true,true,5,6,5,12,13,6,13,12,6,8,6,8,13,11,5,3,0,-2,East,South
14,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,6,8,12,12,4,4,0,97,South,West
13,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,5,8,11,11,3,3,0,96,West,West
12,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,10,10,4,4,0,95,West,West
11,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,9,9,5,5,0,94,West,West
10,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,8,8,6,6,0,93,West,West
9,9,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,7,7,7,7,0,92,West,North
9,10,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,8,6,8,6,0,91,North,North
9,11,true,true,true,true,5,6,5,12,13,6,13,12,6,8,4,2,9,5,9,5,0,90,North,North
9,12,true,true,true,true,5,6,5,12,13,6,13,12,6,7,4,3,10,4,10,4,0,89,North,North
9,13,true,true,true,true,5,6,5,12,13,6,13,12,6,6,4,4,11,5,11,5,0,188,North,West
8,13,true,true,true,true,5,6,5,12,13,6,13,12,6,6,4,4,10,4,12,6,0,187,West,West
7,13,true,true,true,true,5,6,5,12,13,6,13,12,6,6,4,4,9,3,13,7,0,186,West,West
6,13,true,true,true,true,5,6,5,12,13,6,13,12,6,6,4,4,8,2,14,8,0,185,West,West
5,13,true,true,true,true,5,6,5,12,13,6,13,12,5,5,4,4,9,1,15,9,0,184,West,South
5,12,true,true,true,true,5,6,3,1,13,6,13,12,5,6,4,3,8,-1,14,8,0,383,South,East
6,12,true,true,true,true,5,6,3,1,13,6,13,12,6,6,4,3,7,-1,13,7,0,382,East,South
6,11,true,true,true,true,5,6,3,1,13,6,13,12,6,6,4,2,6,-1,12,8,0,381,South,South
6,10,true,true,true,false,5,6,3,1,13,6,13,12,6,6,4,2,5,-1,11,9,0,380,South,South
6,9,true,true,true,true,5,6,3,1,13,6,13,12,6,6,4,2,4,-1,10,10,0,379,South,West
5,9,false,true,true,true,5,6,3,1,13,6,13,12,5,6,4,2,3,-1,11,11,0,378,West,South
5,8,true,true,true,true,5,6,3,1,13,6,13,12,5,6,4,2,2,-1,10,12,0,377,South,South
5,7,true,true,true,true,5,6,3,1,13,6,13,12,5,6,4,2,1,-1,9,13,0,376,South,South
5,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,8,14,0,575,South,East
6,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,7,13,0,574,East,East
7,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,6,12,0,573,East,East
8,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,5,11,0,572,East,East
9,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,4,10,0,571,East,East
10,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,3,9,0,570,East,East
11,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,2,8,0,569,East,East
12,6,true,true,true,true,1,1,3,1,13,6,13,12,6,6,3,2,-1,-1,1,7,0,568,East,East
13,6,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,6,0,767,East,North
13,7,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,5,0,766,North,North
13,8,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,4,0,765,North,North
13,9,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,3,0,764,North,North
13,10,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,2,0,763,North,North
13,11,true,true,true,true,1,1,3,1,5,1,13,12,6,6,6,8,-1,-1,-1,1,0,762,North,North
1,18,false,true,true,false,1,3,2,3,5,9,6,6,5,4,4,4,15,16,19,17,0,0,Stop,South
1,17,true,false,true,false,1,3,2,3,5,9,6,6,5,4,4,4,14,15,18,16,0,-1,South,South
1,16,true,true,true,false,1,3,2,3,5,9,6,6,5,4,4,4,13,14,17,15,0,-2,South,South
1,15,true,true,true,false,1,3,2,3,5,9,6,6,5,4,4,4,12,13,16,14,0,-3,South,South
1,14,true,true,true,false,1,3,2,3,5,9,6,6,5,4,4,4,11,12,15,13,0,-4,South,South
1,13,true,false,true,false,1,3,2,3,5,9,6,6,5,4,4,4,10,11,14,12,0,-5,South,South
1,12,true,true,true,false,1,3,2,3,5,9,6,6,5,4,4,4,9,10,13,11,0,-6,South,South
1,11,true,false,true,false,1,3,2,3,5,9,6,6,5,4,4,4,8,9,12,10,0,-7,South,South
1,10,true,false,true,false,1,3,2,3,5,9,6,6,5,4,4,4,7,8,11,9,0,-8,South,South
1,9,true,false,true,false,1,3,2,3,5,9,6,6,5,4,3,4,6,7,10,8,0,-9,South,South
1,8,true,false,true,false,1,3,2,3,5,9,6,6,5,4,2,4,5,6,9,7,0,-10,South,South
1,7,true,false,true,false,1,3,2,3,5,9,6,6,5,4,2,4,4,5,8,6,0,-11,South,South
1,6,true,true,true,false,1,3,2,3,5,9,6,6,5,4,2,3,3,4,7,5,0,-12,South,South
1,5,true,true,true,false,1,3,2,3,5,9,6,6,5,4,2,2,2,3,8,6,0,-13,South,South
1,4,true,true,true,false,1,3,2,3,5,9,6,6,5,4,2,2,1,2,9,7,0,-14,South,South
1,3,true,true,false,false,1,1,2,3,5,9,6,6,5,3,2,2,-1,1,10,8,0,185,South,East
2,3,true,true,false,true,1,1,3,1,5,9,6,6,6,4,2,2,-1,-1,9,7,0,384,East,East
3,3,true,true,false,true,1,1,3,1,5,9,6,6,6,5,2,2,-1,-1,8,6,0,383,East,East
4,3,true,true,false,true,1,1,3,1,5,9,6,6,6,6,2,2,-1,-1,7,5,0,382,East,East
5,3,true,true,false,true,1,1,3,1,5,9,6,6,6,6,8,2,-1,-1,6,4,0,381,East,North
5,4,true,false,true,true,1,1,3,1,5,9,6,6,6,6,8,2,-1,-1,5,3,0,380,North,North
5,5,true,false,true,true,1,1,3,1,5,9,6,6,6,6,8,2,-1,-1,4,2,0,379,North,North
5,6,true,true,true,true,1,1,3,1,5,9,6,6,6,6,8,3,-1,-1,3,1,0,378,North,East
6,6,true,true,false,true,1,1,3,1,5,9,7,1,6,6,8,4,-1,-1,4,-1,0,577,East,West
5,6,true,true,true,true,1,1,3,1,5,9,7,1,6,6,8,4,-1,-1,3,-1,0,576,West,North
5,7,true,true,true,true,1,1,3,1,5,9,7,1,6,6,8,4,-1,-1,2,-1,0,575,North,North
5,8,true,true,true,true,1,1,3,1,5,9,7,1,6,6,8,4,-1,-1,1,-1,0,574,North,North
1,18,false,true,true,false,5,9,11,3,17,6,25,13,4,4,4,4,19,25,28,29,0,0,Stop,South
1,17,true,false,true,false,5,9,11,3,17,6,25,13,4,4,4,4,18,24,27,30,0,-1,South,South
1,16,true,true,true,false,5,9,11,3,17,6,25,13,4,4,4,4,17,23,26,29,0,-2,South,South
1,15,true,true,true,false,5,9,11,3,17,6,25,13,4,4,4,4,16,22,25,28,0,-3,South,South
1,14,true,true,true,false,5,9,11,3,17,6,25,13,4,4,4,4,15,21,24,29,0,-4,South,South
1,13,true,false,true,false,5,9,11,3,17,6,25,13,4,4,4,3,14,20,23,30,0,-5,South,South
1,12,true,true,true,false,5,9,11,3,17,6,25,13,4,4,4,2,13,19,22,29,0,-6,South,South
1,11,true,false,true,false,5,9,11,3,17,6,25,13,4,4,4,2,12,18,23,30,0,-7,South,South
1,10,true,false,true,false,5,9,11,3,17,6,25,13,4,4,4,2,11,17,24,31,0,-8,South,South
1,9,true,false,true,false,5,9,11,3,17,6,25,13,3,4,4,2,10,16,25,32,0,-9,South,South
1,8,true,false,true,false,5,9,11,3,17,6,25,13,2,4,4,2,9,15,26,33,0,-10,South,South
1,7,true,false,true,false,5,9,11,3,17,6,25,13,2,4,4,2,8,14,27,34,0,-11,South,South
1,6,true,true,true,false,5,9,11,3,17,6,25,13,2,4,3,2,7,13,28,35,0,-12,South,East
2,6,false,true,true,true,5,9,11,3,17,6,25,13,2,4,3,2,6,12,27,34,0,-13,East,East
3,6,true,true,true,true,5,9,11,3,17,6,25,13,2,4,3,2,5,11,26,33,0,-14,East,East
4,6,true,true,true,true,5,9,11,3,17,6,25,13,2,4,3,2,4,10,25,32,0,-15,East,East
5,6,true,true,true,true,5,9,11,3,17,6,25,13,8,4,3,2,3,9,24,31,0,-16,East,North
5,7,true,true,true,true,5,9,11,3,17,6,25,13,8,4,4,2,2,10,25,32,0,-17,North,North
5,8,true,true,true,true,5,9,11,3,17,6,25,13,8,4,4,2,1,11,26,33,0,-18,North,North
5,9,true,true,true,true,1,1,11,3,17,6,25,13,6,4,4,2,-1,12,27,34,0,181,North,East
6,9,true,false,true,true,1,1,11,3,17,6,25,13,6,4,4,2,-1,11,26,33,0,180,East,South
6,8,true,false,true,true,1,1,11,3,17,6,25,13,6,4,4,2,-1,10,25,32,0,179,South,South
6,7,true,false,true,true,1,1,11,3,17,6,25,13,6,4,4,2,-1,9,24,31,0,178,South,South
6,6,true,true,false,true,1,1,11,3,17,6,25,13,6,4,3,2,-1,8,23,30,0,177,South,East
7,6,false,true,false,true,1,1,11,3,17,6,25,13,6,4,3,2,-1,7,22,29,0,176,East,East
8,6,true,true,true,true,1,1,11,3,17,6,25,13,6,4,3,2,-1,6,21,28,0,175,East,East
9,6,true,true,true,true,1,1,11,3,17,6,25,13,6,4,3,2,-1,5,20,27,0,174,East,East
10,6,true,true,true,true,1,1,11,3,17,6,25,13,6,4,3,2,-1,4,19,26,0,173,East,East
11,6,true,false,true,true,1,1,11,3,17,6,25,13,6,5,3,2,-1,3,18,25,0,172,East,South
11,5,true,false,true,true,1,1,11,3,17,6,25,13,6,5,2,2,-1,2,19,26,0,171,South,South
11,4,true,false,true,true,1,1,11,3,17,6,25,13,6,5,2,2,-1,1,20,27,0,170,South,South
11,3,true,false,false,true,1,1,3,1,17,6,25,13,6,6,2,2,-1,-1,21,28,0,369,South,North
11,4,true,false,true,true,1,1,3,1,17,6,25,13,6,6,2,2,-1,-1,20,27,0,368,North,North
